running_number,created_at,updated_at,district,subdistrict,province,days_waiting,hours_waiting,location_name,location_other,status_text
HDY68-1124-0035,2025-11-24 04:57:40,2025-11-24 04:57:40,หาดใหญ่,ควนลัง,สงขลา,1.84,44.2,,"🚨ขอความช่วยเหลือด่วนที่สุด⚠️ยังไม่มีเจ้าหน้าที่เข้าไปเลยสักคน 3 วันแล้วค่ะ #บ้านติดถนนริมคลอง ร.1 ตอนนี้มีคนติดอยู่ในบ้าน 3คน เป็นเด็กผู้หญิงป่วย คนแก่วัย 62 ปีและผู้ชาย ออกจากบ้านไม่ได้ น้ำขึ้นสูงเรื่อยๆ จนล้นคลอง ร.1 พิกัด บ้านหลังสีเทา ถนน เลียบคลองระบายน้ำ ร.1 (เส้นเดียวกับหลังตลาดเกษตรรถตู้ ก่อนแยกประตูระบายน้ำ) บ้านเลขที่ 735 หมู่ 2 ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 
เบอร์โทร 093-6857179, 06-6041-8322 
ด่วนๆค่ะ คนติดไม่มีอาหาร น้ำดื่ม แบตหมด ไม่มีสัญญาณโทรศัพท์ ไม่มีสัญญาณอินเตอร์เน็ตค่ะ",รอการช่วยเหลือ
HDY68-1124-0036,2025-11-24 04:58:56,2025-11-24 04:58:56,หาดใหญ่,หาดใหญ่,สงขลา,1.84,44.1,,,รอการช่วยเหลือ
HDY68-1124-0037,2025-11-24 04:59:18,2025-11-24 04:59:18,หาดใหญ่,หาดใหญ่,สงขลา,1.84,44.1,,,รอการช่วยเหลือ
HDY68-1124-0038,2025-11-24 05:02:01,2025-11-24 05:02:01,หาดใหญ่,หาดใหญ่,สงขลา,1.84,44.1,,"ช่วยน้องสาวหน่อยค่ะ น้องสาวติดต่อกับรถที่ไปรับคนจากหาดใหญ่กลับมาที่ปัตตานีแล้ว เขาบอกว่าให้ไปรอขึ้นรถที่ บขส หาดใหญ่ แต่ตอนนี้น้องสาวยังไม่สามารถออกมาจากหอพักได้เลย เพราะน้ำสูงมาก ตอนนี้น้องติดอยู่ที่ ชั้น5 
ของ สันติราษฎร์แมนชั่น 
ถ.สันติราษฎร์ ต.หาดใหญ่ อ.หาดใหญ่ 
0611930725 ( เบอร์น้องสาว)",รอการช่วยเหลือ
HDY68-1124-0039,2025-11-24 05:02:46,2025-11-24 05:02:46,หาดใหญ่,ควนลัง,สงขลา,1.84,44.1,,ตอนนี้น้ำขึ้นถึงชั้น2แล้ว มีสมาชิกเกือบ10คนอยู่ในบ้าน ลักษณะบ้านเป็นบ้านไม้และเก่าแล้ว อาหารไม่พอใจ มีผู้สูงอายุด้วย ติดต่อใครไม่ได้ สัญญาณโดนตัด แบตทุกคนหมด น้ำขึ้นเร็วมาก,รอการช่วยเหลือ
HDY68-1124-0040,2025-11-24 05:04:32,2025-11-24 05:04:32,หาดใหญ่,หาดใหญ่,สงขลา,1.84,44.0,,"ขอความช่วยเหลือ (หาดใหญ่) จากทีมงานต่างๆหรือหน่วยงานใดก็ได้นะคะ ส่งอาหาร และน้ำดื่ม หรืออาจอพยพให้ไปอยู่ในพื้นที่ปลอดภัย จุดนั้นน้ำท่วมค่อนข้างสูง  ซึ่งในบ้านจะมีผู้ป่วยติดเตียงวัยชรา 1 คน(คุณย่า) และวัยชรา 1 คน (คุณปู่) และพ่อของโบว์อายุ 61 ปี อยู่ในหลังนั้นทั้งหมด 3 คน  ตัวบ้านเป็นอาคาร 2 ชั้น และชั้นบนสุดจะเป็นดาดฟ้า

ตั้งอยู่ที่ โชคสมาน 3  บ้านเลขที่ 42 อยู่ตรงสามแยกเลยค่ะ ตอนนี้ญาติๆไม่สามารถเข้าไปจุดนั้นได้ และไม่สามารถติดต่อใครได้เลยค่ะ 

โทรไปทุกหน่วยงานก็ไม่สามารถติดต่อได้เลยค่ะ เนื่องจากหาดใหญ่ถูกตัดไฟ และตัดสัญญาณหมดเลยค่ะ

ขอความช่วยเหลืออย่างเร่งด่วนนะคะ   
ขอบพระคุณเป็นอย่างสูงค่ะ🙇🏼‍♀️",รอการช่วยเหลือ
HDY68-1124-0041,2025-11-24 05:04:49,2025-11-24 05:04:49,หาดใหญ่,คอหงส์,สงขลา,1.84,44.0,,"1.รบกวนช่วยเหลือ บ้านอยุ่ตรงข้าม ชลประทานที่16    (ควนลัง) มีคนแก่  และติดเตียง  
เบอร์แม่ 06-1949-2837    
เบอร์พี่สาว 06-2918-7471
062-4545458
ร้านสุวันดีคาราโอเกะ
เลขที่ 1585 ม .5  ถ.เพชรเกษมสายเก่า ต.ควนลัง อ.หาดใหญ่ จ.สงขลา90110
-------------------------------------
2.รบกวนดูเขต8  หมู่บ้านหลังสะพานสัจจกุล   บ้านเลขที่186 หมูบ้านมั่นคงสามัคคี ถนนสัจกุล ตำบลหาดใหญ่ อำเภอหาดใหญ่  จังหวัดสงขลา90110
ฝน 0956207870, 
เร 06-3882-2182
จิ๊บ 0624545458  
  ในบ้านมีเด็ก2 คน(นมหมด) คนป่วย  คนสูงอายุ  (รวมคนประมาณ 7-8 คน)






บ้านเลขที่186 หมูบ้านมั่นคงสามัคคี ถนนสัจกุล ตำบลหาดใหญ่ อำเภอหาดใหญ่  จังหวัดสงขลา90110

ฝน 0956207870, 
เร 06-3882-2182
จิ๊บ 0624545458  

7คน 
คนชรา2คน 
คนป่วยชาย1คน 
คนป่วยผู้หญิง1คน
ผู้หญิง1 คน
เด็กผู้หญิง4ขวบ1คน 
เด็กผู้ชาย2ขวบ1คน(ป่วย)",รอการช่วยเหลือ
HDY68-1124-0042,2025-11-24 05:06:18,2025-11-24 05:06:18,หาดใหญ่,คอหงส์,สงขลา,1.83,44.0,,ต้องการอพบยคนออกน้ำกำลังจะขึ้นชั้น2 ขาดแคลนน้ำและอาหารมา3วัน โดนตัดน้ำตัดไฟติดต่อไม่ได้,รอการช่วยเหลือ
HDY68-1124-0043,2025-11-24 05:07:46,2025-11-24 05:07:46,หาดใหญ่,คอหงส์,สงขลา,1.83,44.0,,ติดต่อไม่ได้มา2วัน น้ำจะถึงชั้น2กลัวจะไม่ปลอดภัย เป็นผู้สูงอายุ2คน ต้องทานยา,รอการช่วยเหลือ
HDY68-1124-0045,2025-11-24 05:09:37,2025-11-24 05:09:37,หาดใหญ่,บ้านพรุ,สงขลา,1.83,44.0,,มีผู้สูงอายุ หมา กระต่าย ผู้ใหญ่2คน วัยรุ่น2คน ต้องการอพยพออกไปครับ,รอการช่วยเหลือ
HDY68-1124-0046,2025-11-24 05:20:18,2025-11-24 05:20:18,หาดใหญ่,ควนลัง,สงขลา,1.82,43.8,,"‼️ขอความช่วยเหลือหน่อยค่ะ พี่สาวกับหลานติดอยู่  ยังไม่มีหน่วยงานไหนเข้าช่วย 

 ❌ ตอนนี้ติดต่อพี่สาวไม่ได้ 2 วันแล้วค่ะ มีเด็กหลายคนค่ะ มี 4 ครอบครัว
📌แถว บ้าน2ชั้น เลขที่136 ถ.เพชรเกษม38 หน้าซอย โอเค ต.ควนลัง อ.หาดใหญ่ จ.สงขลา  ยังมีคนติดค้างรอการช่วยเหลืออยู่ค่ะ🙏🙏 

🆘ไม่มีไฟ🆘ไม่มีอาหาร

เบอร์โทรติดต่อ 082 994 4551 (ปุ้น) /081 110 4561 (เอส)",รอการช่วยเหลือ
HDY68-1124-0047,2025-11-24 05:21:34,2025-11-24 05:21:34,หาดใหญ่,หาดใหญ่,สงขลา,1.82,43.8,,ติดต่อพ่อกับแม่ไม่ได้เป็นห่วงมาก,รอการช่วยเหลือ
HDY68-1124-0048,2025-11-24 05:21:55,2025-11-24 05:21:55,หาดใหญ่,คอหงส์,สงขลา,1.82,43.8,,น้องสาวไม่ได้ทานข้าวมา 3 วันแล้ว ติดอยู่บนหอพัก ตรงนั้นระดับน้ำสูง ไม่ได้รับการช่วยเหลือจากหน่วยงานอื่นๆ,รอการช่วยเหลือ
HDY68-1124-0049,2025-11-24 05:22:26,2025-11-25 04:51:21,หาดใหญ่,หาดใหญ่,สงขลา,1.82,43.8,,อยู่บ้านเลขที่14ถ.ราษฎร์เสรี ในบ้านมีหลาน2คนแมว4ตัว,รอการช่วยเหลือ
HDY68-1124-0050,2025-11-24 05:22:53,2025-11-24 05:22:53,หาดใหญ่,คลองอู่ตะเภา,สงขลา,1.82,43.7,,,รอการช่วยเหลือ
HDY68-1124-0051,2025-11-24 05:31:28,2025-11-24 05:31:28,หาดใหญ่,ควนลัง,สงขลา,1.82,43.6,,ต้องการอพยพออกจากพื้นที่9คน มีคนท้อง1คน ที่เหลือเด็กๆวัยกลางคน,รอการช่วยเหลือ
HDY68-1124-0052,2025-11-24 05:32:08,2025-11-24 05:32:08,หาดใหญ่,คอหงส์,สงขลา,1.82,43.6,,"ขอความช่วยเหลือด่วนค่ะ‼️ มีคนติดในรถ 3 คน แมว4 ตัว บริเวณ ลานจอด 7-11 บางหักติดกับตลาดน้ำเก่า เยื้องๆ กุโบว์มัสยิดปากีสถาน   
เบอร์ติดต่อผู้ประสบภัย0650476880
บริเวณนั้น น้ำเชี่ยวมาก

ฝากแชร์ต่อๆกันด้วยนะคะ",รอการช่วยเหลือ
HDY68-1124-0053,2025-11-24 05:33:40,2025-11-24 05:33:40,หาดใหญ่,คอหงส์,สงขลา,1.82,43.6,,,รอการช่วยเหลือ
HDY68-1124-0054,2025-11-24 05:35:55,2025-11-24 05:35:55,หาดใหญ่,คอหงส์,สงขลา,1.81,43.5,,,รอการช่วยเหลือ
HDY68-1124-0055,2025-11-24 05:37:09,2025-11-25 10:23:52,หาดใหญ่,หาดใหญ่,สงขลา,1.81,43.5,,"ขออาหารด่วนมากกกกก
มากกว่า30คน
มีผู้ป่วยเบาหวานไม่ได้ทานยา",รอการช่วยเหลือ
HDY68-1124-0056,2025-11-24 05:37:11,2025-11-24 05:37:11,หาดใหญ่,ควนลัง,สงขลา,1.81,43.5,,"📍ขอความช่วยเหลือค่ะ น้ำรอบ2ท่วมเลยชั้น1แล้วค่ะ มีนักศึกษาติดอยู่ในหอพัก 2 คนค่ะ(บิสมี,นิสริน) ยังไม่มีหน่วยงานไหนมาช่วยเลยค่ะ ไม่มีเสบียง มือถือแบตไม่มีค่ะ
พิกัด : หาดใหญในแถว รร.สหศาสตร์ ซอย33 แถวๆๆตลาดพ่อพรหมถนน🚩🙏",รอการช่วยเหลือ
HDY68-1124-0057,2025-11-24 05:45:34,2025-11-24 05:45:34,หาดใหญ่,คอหงส์,สงขลา,1.81,43.4,,จากคุณ Varisara NK ผ่าน Facebook,รอการช่วยเหลือ
HDY68-1124-0058,2025-11-24 05:55:48,2025-11-24 05:55:48,หาดใหญ่,ควนลัง,สงขลา,1.8,43.2,,"ต้องการอพยพออกจากพื้นที่ ในบ้านมีเด็ก 3 คน
ผู้ใหญ่ 4 คน น้ำกำลังจะขึ้นชั้นสองของบ้าน",รอการช่วยเหลือ
HDY68-1124-0059,2025-11-24 05:56:22,2025-11-24 05:56:22,หาดใหญ่,คอหงส์,สงขลา,1.8,43.2,,ซอยชื่อจิต ตรงข้ามรพ.ศิครินทร์ บ้านเลขที่ 41/235 (กลางซอย) บ้านหลังริม,รอการช่วยเหลือ
HDY68-1124-0060,2025-11-24 05:57:21,2025-11-24 05:57:21,ระโนด,ระโนด,สงขลา,1.8,43.2,,,รอการช่วยเหลือ
HDY68-1124-0061,2025-11-24 05:57:54,2025-11-24 05:57:54,หาดใหญ่,คอหงส์,สงขลา,1.8,43.2,,,รอการช่วยเหลือ
HDY68-1124-0062,2025-11-24 06:10:01,2025-11-24 06:10:01,หาดใหญ่,คอหงส์,สงขลา,1.79,43.0,,,รอการช่วยเหลือ
HDY68-1124-0063,2025-11-24 06:10:53,2025-11-24 06:10:53,หาดใหญ่,หาดใหญ่,สงขลา,1.79,42.9,,,รอการช่วยเหลือ
HDY68-1124-0064,2025-11-24 06:12:25,2025-11-24 06:12:25,หาดใหญ่,คลองแห,สงขลา,1.79,42.9,,ขอความกรุณาด้วยนะคะ ขอแค่อาหารและน้ำเพื่อยังชีพค่ะ ในชุมชนมีมุสลิมด้วยค่ะระแวกนั้นยังอดกันอยู่ ช่วยได้หลายชีวิตเลยค่ะ,รอการช่วยเหลือ
HDY68-1124-0065,2025-11-24 06:22:04,2025-11-24 06:22:04,หาดใหญ่,หาดใหญ่,สงขลา,1.78,42.8,,ติดต่อไม่ได้ ไม่แน่ใจว่ายังติดอยู่ข้างใน มีน้ำมีอาหารพอหรือไม่ ในบ้านมีผู้สูงอายุ 2 คน แมว 1 ตัว,รอการช่วยเหลือ
HDY68-1124-0066,2025-11-24 06:22:05,2025-11-24 06:22:05,หาดใหญ่,หาดใหญ่,สงขลา,1.78,42.8,,,รอการช่วยเหลือ
HDY68-1124-0067,2025-11-24 06:23:54,2025-11-24 06:23:54,หาดใหญ่,คอหงส์,สงขลา,1.78,42.7,,,รอการช่วยเหลือ
HDY68-1124-0068,2025-11-24 06:51:41,2025-11-24 06:51:41,หาดใหญ่,คอหงส์,สงขลา,1.76,42.3,,"น้ำกำลังขึ้นชั้น2 🙏 รบกวนขอความช่วยเหลือครับ ต้องการอพยพ ผู้ใหญ่ 3 ลูกอายุ4 เดือน อีก 1 คนครับ พิกัด 

55 ถ.อาณาเขต
ต.บ้านพรุ
087-3977971",รอการช่วยเหลือ
HDY68-1124-0069,2025-11-24 06:55:26,2025-11-24 06:55:26,หาดใหญ่,หาดใหญ่,สงขลา,1.76,42.2,,,รอการช่วยเหลือ
HDY68-1124-0071,2025-11-24 07:02:07,2025-11-24 07:02:07,หาดใหญ่,คอหงส์,สงขลา,1.75,42.1,,"ขอความช่วยเหลือด่วนค่ะ 🚨
หาเรือเข้าไปรับผู้สูงอายุ2คน อายุ70ปี (คุณพ่อกับคุณแม่ที่มีโรคประจำตัวหอบหืดและเดินไม่สะดวกเนื่องจากผ่าตัดหัวเข่า) น้ำหมดแล้วส่วนอาหารใกล้จะหมดไม่มีน้ำประปา ไฟฟ้า และสัญญาณโทรศัพท์ ติดอยู่บนบ้านมา 3 วันแล้ว *ต้องการอพยพด่วน* ตอนนี้ยังติดต่อคนที่บ้านไม่ได้ค่ะ ติดต่อไปทุกหน่วยงานและทุกช่องทางแล้ว ยังไม่มีหน่วยงานไหนเข้าให้ความช่วยเหลือค่ะ",รอการช่วยเหลือ
HDY68-1124-0072,2025-11-24 07:05:26,2025-11-24 08:11:08,หาดใหญ่,หาดใหญ่,สงขลา,1.75,42.0,,คน4คน แมว5ตัว กระต่าย2ตัวค่ะ สถานการณ์ตอนนี้น้ำกำลังขึ้นถึงชั้น2ของบ้านแล้วค่ะ แบตโทรศัพท์ใกล้หมดค่ะ ต้องการอพยพค่ะ พื้นที่ตรงนี้ยังไม่มีใครเข้าถึงเลยค่ะ 3วันแล้ว เบอร์โทรคนในบ้านที่พอติดต่อได้ 0616328964 (บิว),รอการช่วยเหลือ
HDY68-1124-0073,2025-11-24 07:09:56,2025-11-24 07:09:56,หาดใหญ่,หาดใหญ่,สงขลา,1.75,42.0,,"ตอนนี้ติดในบ้าน มา 3 วันครับ 
ที่บ้านมีเด็ก 2 คน ผู้สูงอายุ 1 คน แถวนี้ไม่มีเรือไม่มีเจ้าหน้าที่ผ่านเลยครับ ติดอยู่ในบ้านรวม 6 คน ครับ

เป็นร้าน ซักผ้าครับ ราษฎ์บูรณะ อยู่ตรงสามแยก ตัดกับ ถนนสันติราษฎร์ ครับ

ติดต่อ 086-2979696, 089-5980580, 087-3990535",รอการช่วยเหลือ
HDY68-1124-0074,2025-11-24 07:12:14,2025-11-24 07:12:14,หาดใหญ่,หาดใหญ่,สงขลา,1.75,41.9,,ขอความช่วยเหลืออพยพแม่ติดเตียงออกจากบ้าน 83 ถนนทิพรัตน์ ซอย 5 โค้งท้ายตลาดกิมหยง ไปเพชรเกษมซอย 10 ตอนนี้ต้องเป็นเรือเข้ามาวิธีเดียวค่ะ น้ำลึกน่าจะประมาณ 2 เมตร โทร.ติดต่อเบอร์นี้ค่ะ 0986699693 หรือหากโทรไม่ติด โทร 0985398896 คุณดาหวันนะคะ,รอการช่วยเหลือ
HDY68-1124-0075,2025-11-24 07:22:16,2025-11-24 07:22:16,หาดใหญ่,ควนลัง,สงขลา,1.74,41.8,,,รอการช่วยเหลือ
HDY68-1124-0076,2025-11-24 07:33:58,2025-11-24 07:33:58,หาดใหญ่,คลองแห,สงขลา,1.73,41.6,,,รอการช่วยเหลือ
HDY68-1124-0077,2025-11-24 07:45:13,2025-11-24 07:45:13,หาดใหญ่,บ้านพรุ,สงขลา,1.72,41.4,,"ตอนนี้ขึ้นยุบนหลังคา เป็นหมู่บ้านชั้นเดียวค่ะ  นั่งตากฝนกันอยู่ รถเข้าไม่ได้แล้วค่ะ ต้องเป็นเรือ น้ำแรงมาก มีผู้สูงอายุด้วยค่ะ มีเด็ก ป่วยด้วยค่ะขอความช่วยเหลือด่วนค่ะ 📌
 ***ติดอยู่บนดาดฟ้า ผู้ใหญ่3 คน เด็กเล็ก2คน #มีเด็กเล็กป่วยไข้สูงมากค่ะ**",รอการช่วยเหลือ
